'2770302103923000017';'7703021039';'Оказание услуг по очистке крыш от снега, наледи и сосулек в 2023-2024гг (р-н Пресненский, Тверской)';'303 900,72';'9731015070'
'2471000167024000102';'4710001670';'Поставка в 2024 году фильтров для механической очистки воды';'87 288,84';'1685011789'
'2054601127523000033';'0546011275';'Продукты пищевые';'210 000,00';'0536015182'
'2290300038023000092';'2903000380';'Поставка системы ультразвуковой визуализации универсальной, с питанием от сети';'5 195 000,00';'7802700000'
'2440500176123000005';'4405001761';'Поставка продуктов питания (творог) для нужд ОГБУЗ Нерехтская ЦРБ';'92 082,00';'3702262002'
'2861100345824000106';'8611003458';'Поставка лекарственного препарата для медицинского применения Иммуноглобулин человека нормальный';'162 731,25';'7723503707'
'2237202853924000004';'2372028539';'Услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»';'48 270,00';'2308125060'
'2292200841924000027';'2922008419';'Поставка расходных материалов для лаборатории - 3';'487 490,34';'690303774712'
'3302302148221000014';'3023021482';'Ремонт автомобильной дороги местного значения общего пользования  по ул. Спортивная на участке от ул. Школьная до ул. Волгоградская в г. Нариманов. Соответствует ОКПД2:Работы строительные по строительству автомагистралей, автомобильных дорог, улично-дорожной сети и прочих автомобильных или пешеходных дорог, и взлетно-посадочных полос аэродромов.';'2 613 192,80';'3018310640'
'2711603108923000076';'7116031089';'Поставка продукции молочной промышленности (масло сливочное)';'172 754,22';'7105049045'
'1770613767324000111';'7706137673';'Поставка медицинских изделий (список 4)';'10 700 000,00';'5038133136'
'2552100423621000028';'5521004236';'Прочие работы, услуги (Услуги по охране, приобретаемые на основании договоров гражданско-правового характера с физическими и юридическими лицами)';'367 119,60';'5501244889'
'2598100789220000028';'5981007892';'Поставка лекарственного препарата для медицинского применения';'141 343,50';'5906132622'
'3910216114824000003';'9102161148';'Книги для пополнения библиотечного фонда МБУК ЦБС для взрослых МОГО Симферополь';'665 309,74';'910203540394'
'2372801298424000017';'3728012984';'Бумага для офисной техники';'3 200,00';'370240943918'
'2503231399024000037';'5032313990';"'Услуга по передаче неисключительных прав использования для ЭВМ ГБУЗ МО ""Одинцовская ОБ"" на 2024 год.'";'2 500 000,00';'7702838149'
'2830001052623000229';'8300010526';'Поставка реабилитационного оборудования';'1 063 521,26';'0917040759'
'2860700629424000030';'8607006294';'Поставка сиропа и композиции для кислородных коктейлей.';'62 325,44';'7838385111'
'2598100789220000073';'5981007892';'Подача холодного водоснабжения';'156 224,16';'5981006602'
'2371101229524000004';'3711012295';'Поставка оборудования для оснащения медицинского кабинета (травматологическая укладка)';'20 800,00';'132809405422'
'2434701047523001020';'4347010475';'поставка лекарственных препаратов для медицинского применения Вальпроевая кислота';'5 505 832,50';'7714474016'
'2745301364223001198';'7453013642';'оказание  услуг по ремонту с заменой запасных частей УЗИ сканера Logiq E сер. № 609782WXO, инв. №0449907, 2017 г. в.';'1 064 000,00';'7452153485'
'2810701165923000003';'8107011659';'Водоснабжение';'13 749,19';'5981006641'
'3663900537024000003';'6639005370';'Оказание услуг по организации отдыха и оздоровления детей Белоярского городского округа в загородных стационарных детских оздоровительных лагерях, расположенных на территории Свердловской области';'1 639 950,00';'6672273955'
'3614201349323000001';'6142013493';'Энергоснабжение';'72 057,58';'6168002922'
'1391751345724000201';'3917513457';'услуги по ремонту наркозного аппарата Fabius Tiro';'210 000,00';'7717738034'
'2711603108923000079';'7116031089';'Поставка фруктов, овощей и зелени';'159 875,19';'7105049045'
'2861201456524000071';'8612014565';'Поставка изделий медицинских';'180 000,00';'1215219066'
'3132816969823000005';'1328169698';'Покупка электрической энергии (мощности)';'127 100,00';'1328904496'
'1504101226923000131';'5041012269';'Поставка вещевого имущества для спецконтингента (рукавицы для осужденных)';'43 750,00';'6219000122'
'2434701047524000244';'4347010475';'поставка Вакцины для профилактики пневмококковых инфекций';'4 205 000,00';'7723503707'
'2350900556823000095';'3509005568';'Поставка лекарственного препарата для медицинского применения Жировые эмульсии для парентерального питания';'81 940,00';'7806005744'
'0172200009714000006';'7810293904';;'15 318,60';'7810435274'
'3440109408123000008';'4401094081';'Оказание транспортных услуг по предоставлению автовышки с водителем для хозяйственных нужд МКУ ЦБ города Костромы';'200 000,00';'4401189079'
'2292200841924000022';'2922008419';'Поставка батареек в 2024 году';'11 692,64';'054802378170'
'2772425573624000015';'7724255736';'Выполнение работ по капитальному ремонту второго этажа управы района Нагатино-Садовники города Москвы (слаботочные системы)';'2 849 965,20';'9724037756'
'1391751345724000204';'3917513457';'поставка изделий медицинского назначения';'396 660,00';'7736326847'
'2860700629424000034';'8607006294';'Поставка строительных материалов';'32 944,15';'6686049304'
'2970105993024000019';'9701059930';'Выполнение работ по подводке электрического кабеля от распределительного щита к местам установки и размещения зарядных станций';'1 125 774,65';'5050158056'
'3232600651624000003';'2326006516';'Бумага для офисной техники';'28 030,55';'2360015415'
'3613200815924000003';'6132008159';'Учебники печатные общеобразовательного назначения';'311 060,20';'7715995942'
'2291400108924000009';'2914001089';'Поставка продуктов питания (свежих овощей)';'50 627,50';'290409423671'
'3591800779219000007';'5918007792';'Тепловая энергия в виде горячей воды';'869 744,17';'5918841447'
'2810700228420000005';'8107002284';'Поставка электроэнергии';'1 616 059,50';'5904123809'
'2732802489424000005';'7328024894';'Бланки строгой отчетности';'42 239,74';'6453169430'
'1771406175624000097';'7714061756';'Поставка товаров (Магистрали для оборудования)';'861 120,00';'7714683323'
'2352600840024000046';'3526008400';'Предоставление права доступа к комплектам «Медицина (СПО) ГЭОТАР-Медиа. Базовый», «Медицина (СПО) ГЭОТАР-Медиа. Премиум» и «Общеобразовательная литература ГЭОТАР-Медиа (СПО)» входящего в «Электронную библиотечную систему «Консультант студента»';'100 000,00';'7716601090'
'1391751345724000038';'3917513457';'поставка изделий медицинского назначения';'1 392 400,00';'7802152272'
'2772581512322000073';'7725815123';'Оказание услуг электроснабжения';'3 997 319,40';'7736520080'
'1421200787024000022';'4212007870';'Поставка лекарственных средств';'123 097,04';'7701213835'
'2540413585224000039';'5404135852';'Поставка лекарственных средств';'72 138,96';'7017350373'
'2263508993623000120';'2635089936';'Поставка хозяйственных товаров';'30 482,80';'2634813497'
'2711603108923000074';'7116031089';'Поставка продукции молочной промышленности (1)';'157 641,00';'7105049045'
'1771404207024001311';'7714042070';'Поставка лекарственных средств';'29 070,80';'9705031526'
'3614201291923000003';'6142012919';'Поставка газа';'107 063,04';'6167049710'
'2598100789220000101';'5981007892';'Поставка лекарственного препарата по врачебной комиссии (Абиратерон ацетат)';'396 900,00';'5904120822'
'2860700629424000045';'8607006294';'Поставка строительных материалов';'10 388,23';'6686049304'
'2183107264824000086';'1831072648';'Канцелярские товары';'29 037,60';'1831182993'
'2772126776524000017';'7721267765';'Поставка хозяйственных товаров и инвентаря (для субботника)  для нужд образовательных организаций, подведомственных Департаменту образования и науки города Москвы';'76 599,11';'502106265406'
'2781012744924000019';'7810127449';'Поставка оборудования в целях внедрения цифровой образовательной среды в рамках регионального проекта «Цифровая образовательная среда» (часть 1, МФУ) для нужд ГБОУ школы № 489 Московского района Санкт-Петербурга в 2024 году';'46 534,45';'7802942954'
'2830001052623000248';'8300010526';'Поставка изделий медицинского назначения';'463 599,80';'9715383622'
'2781800622017000058';'7818006220';;'122 589,15';'773700067592'
'1771404207024001318';'7714042070';'Поставка лекарственных средств';'1 482 277,50';'9705031526'
'1770100252023000859';'7701002520';'Поставка компьютерного оборудования';'9 998 500,00';'772410316767'
'1771404207024001312';'7714042070';'Поставка лекарственных средств';'729 019,50';'9705031526'
'2590229047324000177';'5902290473';'Поставка наборов для введения инсулина(А)(253)';'177 750,00';'6678119558'
'2910205919023000149';'9102059190';'Выполнить инженерные изыскания, разработать проектно-сметную документацию, а также обеспечить прохождение государственной экспертизы в части оценки достоверности определения сметной стоимости с получением положительного заключения по объекту: «Капитальный ремонт Перегораживающего сооружения № 3: ПК1637+25 СКК, расположенного по адресу: Республика Крым, Красноперекопский район, Магазинское сельское поселение»';'3 492 859,00';'9102164212'
'1391751345724000167';'3917513457';'поставка медицинских изделий';'674 913,60';'7825130660'
'2183107264824000085';'1831072648';'Хозяйственные товары';'12 549,00';'6330064733'
'1771404207024001316';'7714042070';'Поставка лекарственных средств';'1 482 277,50';'9705031526'
'3450102246824000017';'4501022468';'Поставка спасательных жилетов и забродных костюмов ПВХ';'47 700,00';'451003945541'
'2026000376522000370';'0260003765';'Поставка лекарственных препаратов';'360 933,60';'0276065541'
'2023600075623000160';'0236000756';'Поставка изделий медицинского назначения (маска анестезиологическая, одноразовая) на 2023 год';'28 832,00';'021203355959'
'2023600075623000221';'0236000756';'Закупка изделий медицинского назначения';'6 750,00';'0275914231'
'3540414133424000012';'5404141334';'Поставка моющих средств';'3 837,00';'5404109884'
'2861100345824000108';'8611003458';'Поставка лекарственного препарата для медицинского применения';'98 422,50';'7718538045'
'2781702588721000003';'7817025887';'Предоставление транспортных услуг для Санкт-Петербургского государственного бюджетного учреждения здравоохранения «Городская поликлиника №72» в 2021 году';'2 517 097,83';'781432447800'
'2683202476622000303';'6832024766';'Поставка лекарственного препарата пропофол';'178 660,30';'3459070488'
'3610300322024000021';'6103003220';'Приобретение моноблока для оснащения многофункционального молодежного центра Багаевского района';'56 000,00';'616800747765'
'2612190379123000210';'6121903791';'Поставка продуктов питания для отделения сестринского ухода Знаменской врачебной амбулатории на 2024 год';'4 898,00';'9701146325'
'1771406175624000206';'7714061756';'Поставка Мелфалана (код ОКПД2 – 21.20.10.211)';'2 344 800,00';'5027083476'
'2482300499223000313';'4823004992';'Лекарственный препарат для медицинского применения Этилметилгидроксипиридина сукцинат';'2 647,00';'4826022196'
'3550404854723000068';'5504048547';"'Выполнение работ по капитальному ремонту фасада (усиление стены, замена витража) библиотеки ""На Лесном""'";'2 211 000,00';'5507279084'
'1771404207024001323';'7714042070';'Поставка лекарственных средств';'385 000,00';'7726311464'
'2352520908624000103';'3525209086';'Поставка центробежных пожарных насосов';'699 659,97';'5752049957'
'2782003889315000005';'7820038893';;'4 737,00';'7830001028'
'3504210787624000003';'5042107876';'Приобретение жилого помещения в многоквартирном доме, для предоставления гражданам, переселяемым из аварийного многоквартирного дома, расположенного на территории Сергиево-Посадского городского округа, г. Краснозаводск';'5 283 365,60';'504215859996'
'3541410345823000010';'5414103458';'Поставка тепловой энергии.';'95 806,86';'5453007081'
'2683200661524000014';'6832006615';'Поставка генератора электрохирургического';'2 470 282,97';'7841081843'
'1771404207024001129';'7714042070';'Поставка лекарственных средств';'511 425,64';'7726311464'
'2390636198924000004';'3906361989';'на поставку моющих средств';'5 610,06';'391705192154'
'1740500160823000013';'7405001608';'Услуги по снабжению тепловой энергии на отопление, тепловой энергией на горячее водоснабжение ФГБУЗ МСЧ № 72 ФМБА России';'12 449 837,05';'7405000450'
'2390401448224000019';'3904014482';'Оказание преподавательских услуг';'43 000,00';'771406474695'
'3504206799024000016';'5042067990';'Поставка учебной литературы';'1 078 310,20';'7715995942'
'1770730665224000027';'7707306652';'Поставка запасных частей и принадлежностей для имеющегося оборудования Milestone';'8 755 214,87';'7743655257'
'1783830267624000027';'7838302676';'Поставка принтеров';'120 225,00';'7814199483'
'3611590180624000001';'6115901806';'приобретение учебной литературы';'181 729,35';'7715995942'
'3365201435424000002';'3652014354';'Поставка навесного оборудования для спецтехники';'1 308 000,00';'3257080638'
'3550404854723000061';'5504048547';'Выполнение работ по капитальному ремонту фасадов здания детской библиотеки им. Т. Белозёрова';'1 698 000,00';'260804207707'
'2711700179224000121';'7117001792';'Поставка химических реактивов для патологоанатомического отделения';'62 454,66';'7106086949'
'2391700777123000174';'3917007771';'Поставка мягкого инвентаря';'53 220,00';'3903012771'
'3320100467424000011';'3201004674';'Изготовление и поставка поздравительных открыток';'76 285,14';'463225369708'
'2390401448224000018';'3904014482';'Оказание преподавательских услуг';'37 356,80';'771520336965'
'2772335616024000157';'7723356160';'Услуги по обучению, а именно: осуществление функций председателя комиссии по проведению экзамена (квалификационного).';'8 912,60';'910824332020'
'2380817232724000324';'3808172327';'Поставка лекарственных препаратов для медицинского применения Клобазам';'52 840,80';'8506001684'
'3433500294516000002';'4335004300';;'128 713,00';'4345261628'
'2360700161023000310';'3607001610';'2023-12707. Поставка медицинских изделий';'2 779,20';'3662152515'
'2773711909624000017';'7737119096';'Поставка канцелярских товаров (пишущие принадлежности).';'22 161,50';'7706506190'
'1770730665224000069';'7707306652';'Поставка полотенец и салфеток косметических бумажных';'197 870,20';'5028036831'
'2420534966424000449';'4205349664';'Поставка лекарственных препаратов (приобретение товаров в пользу граждан в целях их социального обеспечения)';'472 500,00';'7816597391'
'1771406175624000063';'7714061756';'Поставка Даратумумаба (код ОКПД2 – 21.20.10.211)';'8 179 600,00';'7727173908'
'3320100467424000010';'3201004674';'Поставка бумаги для офисной техники';'397 745,24';'5405414915'
'2350900556823000146';'3509005568';'Поставка лекарственного препарата для медицинского применения Глицирризиновая кислота + Фосфолипиды';'17 718,75';'7806005744'
'1391751345724000073';'3917513457';'поставка изделий медицинского назначения';'4 063 540,00';'7802152272'
'1771404207024001181';'7714042070';'Поставка лекарственных средств';'1 499 960,00';'7727173908'
'3614201592724000001';'6142015927';'Поставка учебников';'1 071,40';'7715995942'
'2781664186920000013';'7841097748';'Оказание услуг по водоотведению (ул. Гагаринская, д. 3, лит. А)';'107 711,37';'7830000426'
'1771404207024001179';'7714042070';'Поставка лекарственных средств';'1 499 960,00';'7727173908'
'2366409254024000008';'3664092540';'Поставка тепловизоров';'1 791 000,00';'502717231961'
'2542310125623000386';'5423101256';'Поставка продуктов питания капуста квашеная (ОМС)';'26 408,61';'5404027021'
'3340400344321000006';'3404003443';'Местная проводная телефонная связь';'4 000,00';'7707049388'
'2782032624224000011';'7820326242';'Поставка манекена портновского мягкого для нужд ГБОУ средняя школа  №511    Пушкинского района  Санкт-Петербурга';'15 041,67';'4705102665'
'2563800779023000094';'5638007790';'На поставку мешков для мусора';'113 850,00';'5611086480'
'2772335616024000156';'7723356160';'Услуги по обучению, а именно: осуществление функций председателя комиссии по проведению экзамена (квалификационного).';'18 815,47';'774327525416'
'2420534966423002149';'4205349664';'Поставка лекарственных препаратов для медицинского применения: ТЕДУГЛУТИД';'38 991 680,00';'2221213184'
'3550404854724000015';'5504048547';'Поставка книг для комплектования библиотечных фондов';'26 226,00';'7701812998'
'3590603363922000006';'5906033639';'Аренда помещений';'61 600,00';'590202970370'
'2462300385724000006';'4623003857';'поставка тепловой энергии';'233 535,71';'4623002116'
'2366605089923000131';'3666050899';'Поставка лекарственного препарата для медицинского применения периндоприл';'3 906,00';'3123481148'
'2772126776524000019';'7721267765';'Поставка хозяйственных товаров и инвентаря (для субботника лотки) для нужд образовательных организаций, подведомственных Департаменту образования и науки города Москвы';'15 382,13';'7734437485'
'2782032624224000030';'7820326242';'Поставка микроволновых печей для нужд ГБОУ средняя школа № 511 Пушкинского района Санкт-Петербурга';'55 676,92';'780624001990'
'2366409254024000006';'3664092540';'Поставка автомобиля';'3 693 000,00';'3665095914'
'2683202476623000068';'6832024766';'Поставка расходных материалов, адаптированных для работы на бактериологическом анализаторе Vitek 2, находящимся на гарантийном обслуживании';'79 545,17';'7734426540'
'1771406175624000016';'7714061756';'Поставка реагентов для выделения CD34+ клеток для нужд ФГБУ «НМИЦ гематологии» Минздрава России';'1 750 000,00';'7714683323'
'1301603254024000029';'3016032540';'оказание услуг по обращению с твердыми коммунальными отходами';'32 472,16';'3444177534'
'2360700161024000082';'3607001610';'2024-00693**Поставка медицинских изделий';'13 156,00';'631220300913'
'2290103458423000284';'2901034584';'Поставка лекарственных препаратов для медицинского применения пертузумаб';'60 817 710,80';'7801206260'
'3722401028723000001';'7224010287';'Поставка электроэнергии';'8 000 000,00';'8602067215'
'3745101277023000048';'7451012770';'Поставка изделий медицинского назначения (расходные материалы для анализаторов серии BS)';'487 973,10';'7448211906'
'2772332389524000025';'7723323895';"'Приобретение билетов для посещения концертной программы Анны Сизовой ""Казачка вольная"" для льготной категории населения жителей района Люблино, в том числе для членов семей СВО, в сфере досуговой и социально-воспитательной работы с населением по месту жительства в 2024 году'";'52 000,00';'772348191383'
'1380801574024000012';'3808015740';'Поставка продуктов питания (яблоки)';'72 500,00';'3811474350'
'2590229047323001499';'5902290473';'ПОСТАВКА ЛЕКАРСТВЕННОГО ПРЕПАРАТА ДЛЯ МЕДИЦИНСКОГО ПРИМЕНЕНИЯ (ЦЕФЕПИМ+СУЛЬБАКТАМ)';'2 597 198,72';'7714511476'
'3291801203523000025';'2918012035';"'Оказание услуг местной телефонной связи; оказание услуг внутризоновой телефонной связи'";'319 107,31';'7707049388'
'2780221526818000002';'7802215268';'Оказание услуг_теплоснабжение за декабрь 2017 года';'870,85';'7830001028'
'2910900821224000041';'9109008212';'Поставка лекарственных средств МНН: ИММУНОГЛОБУЛИН ЧЕЛОВЕКА НОРМАЛЬНЫЙ';'448 956,00';'9102237291'
'3521500555124000002';'5215005551';'Приобретение звукового и светового оборудования для Румстихинского сельского Дома культуры';'961 762,85';'525812326033'
'2761500093922000041';'7615000939';"'Поставка продуктов питания (капуста белокочанная, картофель продовольственный, лук репчатый, морковь столовая, свекла столовая) для нужд ГУЗ ЯО ""Брейтовская ЦРБ""'";'243 596,50';'760401806050'
'2770605585422000150';'7706055854';"'Аукцион в электронной форме на закупку лекарственных препаратов (МНН Метамизол натрия+Питофенон+Фенпивериния бромид; Метамизол натрия; Фенобарбитал+Этилбромизовалерианат) для нужд филиала «Родильный дом №25» и для нужд ГКБ №1 им. Н.И. Пирогова (повторно).'";'403 000,00';'6234162791'
'2780704119924000012';'7807041199';'Поставка интерактивного оборудования';'900 581,69';'7811245685'
'1771016836022000009';'7710168360';"'Проведение комплекса научно-исследовательских работ (исследований) по тематике ""Аналитическая и исследовательская поддержка участия Российской Федерации в деятельности международных организаций и форумов""'";'50 000 000,00';'9710014043'
'3421401063824000026';'4214010638';'Оказание услуг по проведению обучающего мероприятия по вовлечению молодежи в предпринимательскую деятельность на 2024 год.';'101 000,00';'773570912801'
'2890100486223001307';'8901004862';'Оказание услуг по техническому обслуживанию компрессорной станции сжатого воздуха RIFAIR';'737 666,67';'5503218595'
'2366411585424000138';'3664115854';'Оказание услуг по осуществлению обязательного ежегодного аудита бухгалтерской (финансовой) отчетности за 2023 год казенного предприятия Воронежской области «Специализированная эксплуатационная служба управления делами Воронежской области»';'39 000,00';'4632086698'
'2366411585424000164';'3664115854';'Поставка расходных материалов';'455 669,90';'772444790647'
'3633000130024000032';'6330001300';'Выполнение работ по замене неизолированных проводов на СИП';'229 961,67';'6330083623'
'1770730665224000067';'7707306652';'Поставка контейнеров для сбора, транспортирования отходов';'282 288,20';'7806583985'
'1773606497624000024';'7736064976';'Предоставление неисключительной сублицензии по обеспечению доступа к ресурсам Springer Nature';'548 115 379,69';'9731073699'
'2690202535723000013';'6902025357';"'Выполнение работ по защите лесов, воспроизводству лесов на территории Кашинского отдела лесного хозяйства ГКУ ""Кашинское лесничество Тверской области""'";'676 197,57';'691004418852'
'3110801119024000005';'1108011190';'Бумага для печати';'3 681,70';'1102038855'
'2290103458423000365';'2901034584';'Поставка лезвий микротомных';'1 313 250,00';'7801557131'
'2710501529323000773';'7105015293';'Поставка лекарственных препаратов для медицинского применения';'2 402 004,00';'9709008782'
'1770613767324000154';'7706137673';'Поставка компьютерного и периферийного оборудования';'3 823 655,78';'5906176490'
'2366605089923000141';'3666050899';'Поставка лекарственного  препарата для медицинского применения лозартан';'7 290,00';'3123481148'
'2360700161024000097';'3607001610';'Поставка лекарственного препарата для медицинского применения калия хлорид+кальция хлорид+магния хлорид+натрия ацетат+натрия хлорид+яблочная кислота';'2 537,60';'3662212115'
'3500910736424000005';'5009107364';'Поставка легкового автомобиля';'1 318 249,67';'7106046463'
'2132625795924000019';'1326257959';'Закупка ракообразных, моллюсков и прочих беспозвоночных водных, мороженых, переработанных или консервированных ';'21 099,90';'1328008330'
'2745300612324000036';'7453006123';'Поставка мыла';'59 380,98';'561600087487'
'2366605089924000006';'3666050899';'Поставка лекарственного препарата для медицинского применения сульфасалазин';'6 308,00';'3123481148'
'3111400088824000011';'1114000888';"'Приобретение в муниципальную собственность МО МР ""Усть-Куломский"" жилого помещения для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей'";'3 400 000,00';'110901233480'
'3633000130024000019';'6330001300';'Выполнение кадастровых работ';'4 200,00';'6679148181'
'2583601292124000018';'5836012921';'Поставка лекарственного препарата для медицинского применения Цертолизумаба пэгол';'2 216 763,00';'5044114526'
'1332901184424000027';'3329011844';'Овощи маринованные';'835 000,00';'1660348614'
'1771406175624000053';'7714061756';'Поставка Пиперациллина+Тазобактама (код ОКПД2 – 21.20.10.191)';'1 615 500,00';'7714511476'
'2132512782023000007';'1325127820';'оказание услуг по технической поддержке Информационной системы управления проектами государственного заказчика в сфере строительства для нужд Министерства строительства и архитектуры Республики Мордовия';'2 881 539,48';'7718193111'
'2366605089924000071';'3666050899';'Поставка лекарственного препарата для медицинского применения нифедипин';'180,00';'3662212115'
'2761201140323000036';'7612011403';'Поставка продуктов питания: сухофрукты';'5 396,98';'7604278650'
'3440000993623000004';'4400009936';'Поставка бакалейных товаров';'18 753,65';'444400337228'
'3521400672124000019';'5214006721';'Принтер';'84 300,00';'7706688536'
'2542310125623000449';'5423101256';'Продукты питания капуста квашеная (туб)';'12 602,67';'5404027021'
'3745101780323000005';'7451017803';'Поставка электрической энергии (мощности)';'10 000,00';'7453313477'
'2910900821224000059';'9109008212';'Поставка лекарственных средств МНН: ФОЛИЕВАЯ КИСЛОТА';'230 000,00';'7743374320'
'2745313582724000640';'7453135827';'На поставку лекарственного препарата для медицинского применения – Селексипаг для обеспечения лекарственными препаратами и специализированными продуктами лечебного питания граждан, страдающих жизнеугрожающими и хроническими прогрессирующими редкими (орфанными) заболеваниями, приводящими к сокращению продолжительности жизни граждан или их инвалидности';'15 001 470,00';'7718538045'
'3521400672124000020';'5214006721';'Сканер';'114 711,00';'7706688536'
'2366605089924000082';'3666050899';'Поставка лекарственного препарата для медицинского применения омепразол';'2 892,00';'3662212115'
'2780514488021000012';'7805144880';'Оказание  услуг по обучению персонала для образовательных учреждений Кировского района Санкт-Петербурга в 2021 году. (совместные торги).';'1 617,25';'7716874274'
'1523400248224000023';'5234002482';'услуги по техническому обслуживанию и ремонту автомобиля с использованием запасных частей';'84 532,14';'5239011642'
'3690000173824000023';'6900001738';'Поставка шин автомобильных';'102 067,00';'7816704893'
'2781113911915000002';'7811139119';;'24 000,00';'7813045498'
'3745101780323000004';'7451017803';'Поставка электрической энергии (мощности)';'160 000,00';'7453313477'
'2366605089924000083';'3666050899';'Поставка лекарственного препарата для медицинского применения нимесулид';'1 736,00';'3662212115'
'1120000170124000046';'1200001701';'Поставка бумаги для офисной техники для нужд районных (городских) судов Республики Марий Эл, судейского сообщества и Управления Судебного департамента в Республике Марий Эл';'1 115 000,00';'237309512080'
'2780514488021000020';'7805144880';'Поставка ламп и комплектующих для нужд образовательных учреждений Кировского района Санкт-Петербурга в 2021 году (совместные торги)';'11 646,35';'470901845344'
'2110148738224000007';'1101487382';'Тумбочка прикроватная';'274 978,00';'3906363400'
'3690000173824000028';'6900001738';'Поставка офисных кресел';'404 597,10';'463223913094'
'2683202476623000065';'6832024766';'Поставка лекарственных препаратов Дротаверин, Окситоцин, Дроперидол, Ксилометазолин';'120 108,00';'7708823950'
'2434536267224000017';'4345362672';'Оказание услуг по проведению лабораторных исследований';'2 640 000,00';'4346011211'
'2761201140323000027';'7612011403';'Поставка продуктов питания: бакалейная продукция № 2';'4 967,86';'760401806050'
'1773010211024000094';'7730102110';'Поставка кожного клея (ф. 005МИ)';'562 129,29';'770901233614'
'3745101780323000002';'7451017803';'Поставка тепловой энергии и теплоносителя';'350 000,00';'7453320202'
'2366605089924000073';'3666050899';'Поставка лекарственного препарата для медицинского применения амлодипин';'1 181,25';'3662212115'
'3711881670224000029';'7118816702';'Оказание услуг по организации и проведению спортивных мероприятий в МО р.п. Первомайский Щекинского района';'40 000,00';'7118507775'
'2231507458524000003';'2315074585';'Поставка лекарственного препарата для медицинского применения (МНН Дурвалумаб)';'7 613 892,00';'7714511476'
'1120000170124000048';'1200001701';'Поставка табличек тактильных для нужд районных (городских) судов Республики Марий Эл';'11 250,97';'026506514124'
'1771406175624000188';'7714061756';'Поставка замков электромагнитных с уголком для нужд ФГБУ «НМИЦ гематологии» Минздрава России';'40 500,00';'4345338750'
'3745101780323000003';'7451017803';'Поставка тепловой энергии и теплоносителя';'250 000,00';'7453320202'
'1391751345724000123';'3917513457';'поставка оборудования – шкафы холодильные и морозильные';'396 233,60';'3906405467'
'2770744792823000014';'7707447928';'Оказание услуг по аренде легковых автомобилей';'1 288 434,50';'7722484346'
'3690000173824000027';'6900001738';'Бумага для печати';'964 628,50';'691000129289'
'1773010211024000034';'7730102110';'Поставка лекарственного препарата для медицинского применения ДОМПЕРИДОН, ТРИМЕБУТИН (ф. 023)';'162 236,25';'6234162791'
'3111400088824000016';'1114000888';"'Приобретение в муниципальную собственность МО МР ""Усть-Куломский"" жилого помещения для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей'";'3 400 000,00';'112103714017'
'2434803370024000013';'4348033700';'Поставка продуктов питания (консервы рыбные в масле, паштет шпротный)';'10 638,24';'4345309044'
'2366605089924000062';'3666050899';'Поставка медицинских изделий';'17 340,00';'631220300913'
'3501304142024000005';'5013041420';'Поставка расходных материалов для копировально-множительной техники для нужд МБУ ДО «СШ-Центр спорта «Метеор» в 2024 г.';'72 892,21';'9718227580'
'2312813818123001093';'3128138181';'Поставка канцелярских товаров (3) на 2024 год';'6 713,30';'3666041157'
'3482200042723000075';'4822000427';'Снос сухих и аварийных деревьев по улицам г. Липецка';'10 022 928,73';'680802528850'
'3672200653124000032';'6722006531';'Приобретение отдельного жилого помещения для лица из числа детей-сирот и детей, оставшихся без попечения родителей, не имеющего закрепленного жилого помещения (отдельное благоустроенное жилое помещение типового качества в городе Вязьма Смоленской области) общей площадью не менее 18 кв. м. в количестве 1 единицы  ';'2 434 644,00';'672203247880'
'2235400588124000002';'2354005881';'Поставка бумаги для офисной техники (лот 3)';'37 822,20';'010605107130'
'1120000170124000052';'1200001701';'Поставка стационарного арочного металлодетектора для нужд Сернурского районного суда Республики Марий Эл постоянного судебного присутствия в поселке городского типа Мари-Турек Мари-Турекского района Республики Марий Эл';'327 666,67';'5001145110'
'3691101434423000002';'6911014344';'Оказание услуг по проведению медицинского осмотра сотрудников для работы в летнем оздоровительном лагере';'13 107,52';'6950084472'
'3400303200824000009';'4003032008';'Поставка бумаги ';'8 047,47';'237309512080'
'2236801474124000004';'2368014741';'Приобретение знаков почтовой оплаты-марок';'10 000,00';'7724490000,7724490000'
'2690202535723000044';'6902025357';"'Выполнение работ по защите лесов на территории Оленинского отдела лесного хозяйства ГКУ ""Старицкое лесничество Тверской области""'";'1 486 200,00';'6908019462'
'2312813818123001085';'3128138181';'Поставка канцелярских товаров (6) на 2024 год';'31 698,40';'3666041157'
'1440100118222000214';'4401001182';'Оказание услуг по приему, обработке и пересылке внутренней простой и заказной письменной корреспонденции, отфранкированной на франкировальной машине';'2 371 000,00';'7724490000'
'2110148738224000158';'1101487382';'Поставка аппарата для ингаляционной терапии оксидом азота';'5 472 500,00';'7802828352'
'2667138083424000220';'6671380834';'Поставка очищающего раствора для кювет для биохимического анализатора MIURA';'36 840,90';'6673219679'
'3503603389824000069';'5036033898';'Поставка эмали';'21 049,55';'5040163603'
'2683000213223000175';'6830002132';'Поставка индикаторных тест-систем ';'10 236,00';'6141053140'
